grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
全然（ぜんぜん）;(Not) at all;N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%9C%E3%82%93%E3%81%9C%E3%82%93;ぜんぜん + Phrase | ぜんぜん + (Negative) Phrase;;;Standard;In Japanese, there are several adverbs that are traditionally used exclusively with negative expressions (containing ない). 全然（ぜんぜん） is one of them. When used at the beginning of a ない (or ません) containing phrase, 全然（ぜんぜん) has the meaning of 'completely not (A)', or 'not (A) at all'.;Slang: totally・completely, exceptionally | Despite originally being used only with negative expressions, it is becoming more and more common for ぜんぜん to appear with positive expressions as well. In these cases, it just has the meaning of 'totally (A)', or 'completely (A)'.;彼女（かのじょ）は家事（かじ）の手伝（てつだ）いを全然（ぜんぜん）しなかったので別（わか）れました。;I broke up with her because she didn't help out at all with house chores.;;;全く～ない | とても～ない | すこしも～ない;;
かな;I wonder;N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%AA;Sentence + かな;;;Standard;Originally a mixture of the sentence ending particles か, and な, かな evolved over time to become its own (singular) sentence ending particle, which roughly translates as 'I wonder if (A)?'.;;あの人（ひと）が道（みち）の真（ま）ん中（なか）で倒（たお）れてるけど、大丈夫（だいじょうぶ）かな。;That person over there is laying collapsed in the middle of the street, but I wonder if they are okay.;;;～のだろうか | かしら | はたして;Neutral / casual;
余（あま）り～ない;Not very, Not much, Not really, Hardly;N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%BE%E3%82%8A-%E3%81%AA%E3%81%84;あまり(1) + Verb［ない］ | あまり(1) + ［い］Adjective［ない］ | あまり(1) + Noun + ではない(2) | あまり + ［な］Adjective + ではない(2) |  | (1) あんまり | (2) じゃない;;;Standard;あまり is a very flexible word in Japanese, that is used in several different grammar points. When paired with the ない form of a word, it translates to 'not very (A)', or 'hardly (A)'. To pair あまり (or the casual form, あんまり) with another word, we just need to place it at the beginning of a phrase, or directly before the ない statement.;;今（いま）の時間（じかん）だったらあまり並（なら）ばないと思うよ。;At this time, I think we would not have to stand in line for very long.;; なかなか | たくさん;別に〜ない | 全く～ない | なかなか～ない | めったに〜ない | すこしも～ない | そんなに;;
ば;If… then, (Conditional);N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%B0;［い］Adjective［い］+ ければ | ［な］Adjective + なら（ば） | Noun + なら（ば） |  | Verbs: | ［る1］Verb ￫ 見（み）る + れば | ［る5］Verb ￫ 座（すわ）る + れば | ［う］Verb ￫ 歌（うた）う + えば | ［く］Verb ￫ 歩（ある）く + けば | ［す］Verb ￫ 話（はな）す + せば | ［つ］Verb ￫ 打（う）つ + てば | ［ぬ］Verb ￫ 死（し）ぬ + ねば | ［ぶ］Verb ￫ 飛（と）ぶ + べば | ［む］Verb ￫ 休（やす）む + めば | ［ぐ］Verb ￫ 泳（およ）ぐ + げば |  | Exceptions: | する ￫ すれば | くる ￫ くれば |  | Negative Forms: | Verb［ない］+ なければ | ［い］Adjective［ない］+ なければ | ［な］Adjective + で + なければ | Noun + で + なければ;;;Standard;There are several different ways to express 'if' in Japanese. One of these is through using the conjunction particle ば. ば presents hypothetical situations (possibilities), and pairs with verbs using an う to え sound-change conjugation method on the terminal (last) kana. Let's examine this with a few verbs first.;Hypothetical | So that you do not mix up the conjugation rules for ば, and passive verbs, remember that the last kana of the verb will change to an あ sound, before adding れる with passive verbs. However, this change is to an え sound with ば.;雨（あめ）が止（や）めば、今日（きょう）も釣（つ）りに行（い）くつもりです。;If it stops raining, I intend to go fishing today also.;;;と | ば〜ほど | たら | なら | もし;;
なら;Were it, If, If it's the case, As for (Conditional);N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%89;Verb＋（の）＋なら（ば） | ［い］Adjective＋（の）＋なら（ば） | ［な］Adjective＋なら（ば） | Noun＋なら（ば）;;;Standard;As mentioned in our lesson about ば, なら is often used by itself to mean 'if'. This is considered to be an abbreviation of ならば, the hypothetical form of なり, a classical auxiliary verb that is not used much in modern Japanese.;なら replaces だ when used with nouns or な-adjectives | Because なら is an abbreviation of ならば, it is strictly used when making guesses about what 'may', or what 'could' happen in certain situations. This means that it will not be used as 'if' in statements about results that are produced through some sort of effort/training.;寒（さむ）いのならば、ジャケットを着（き）るといいだろう。;If it is cold, you should wear a jacket.;;;ばあいは | もしも～なら・もしも～でも | としたら・とすれば・とすると | こそ | ば | それなら | もし | と | たら;;
がる;To feel, To think, To act as if, To want, To desire;N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%8C%E3%82%8B;［い］Adjective［い］+ がる | ［な］Adjective + がる | ［い］Adjective［い］+ がります | ［な］Adjective + がります;;;Standard;がる is a う-Verb that is primarily used as a suffix in Japanese. When used in this way, it means 'to act like (A)', or 'to show signs of being (A)', where (A) is the word that it is attached to.;がる is used in たがる construction, which is simply たい + がる. | がる may also be used to describe yourself (in the third person). This is when you want to express the way you think that you act/are acting, or a way you assume other people view your behavior.;彼（かれ）はいつも女（おんな）の子（こ）の前（まえ）では強（つよ）がるけど友達（ともだち）の中（なか）では彼（かれ）は一番（いちばん）の怖（こわ）がりだ。;He always acts tough in front of girls, but amongst our friends he is the biggest scaredy-cat.;;;たがる | たい | がほしい | てほしい;;
がする;To give off, Smell, Sound, Taste, Sensation;N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%99%E3%82%8B;Noun + が + する | Noun + が + します;;;Standard;In Japanese, describing things that can be experienced with the senses (excluding visual), is a little bit different to the way that we would convey it in English. Traditionally, we would use unique verbs for each of these situations, such as 'smells like (A)', 'tastes like (A)', 'feels like (A)', etc. While this is still possible in Japanese, it is not the most common way.;;誰（だれ）かに見（み）られている感（かん）じがする。;It feels like I'm being watched by someone. (Literally, 'the feeling of being watched is happening');;;にみえる | 聞こえる;;
たがる;To want to (Third person);N4;3;Seems Like, Could be;https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%8C%E3%82%8B;Verb［たい］+ がる | Verb［たい］+ がります;;;Standard;As we explored in our lesson about がる, this verb can be used with adjectives, to express the way in which people are acting. However, it can also be partnered with the auxiliary verb たい, to form たがる. This grammar construction is used when expressing that someone is acting like they 'want' to do something.;たがる is in contrast to てほしい which means 'to want someone to do (A)'. These differences will need to be practiced, and memorized. | This is also in contrast to the い-Adjective 欲（ほ）しい 'to want (A)'. To describe that someone seems like they want something (rather than that they want to 'do' something), がる will be paired with this adjective.;彼（かれ）は動物園（どうぶつえん）に行（い）きたがる。;He is acting like he wants to go to the zoo.;たい;;がる | がほしい | てほしい;;
かもしれない;Might, Maybe, Probably;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%82%E3%81%97%E3%82%8C%E3%81%AA%E3%81%84;Verb + かもしれない | ［い］Adjective + かもしれない | ［な］Adjective + かもしれない | Noun + かもしれない | Verb + かもしれません | ［い］Adjective + かもしれません | ［な］Adjective + かもしれません | Noun + かもしれません;;;Standard;かもしれない is an expression in Japanese that is often treated as a single word, but is actually the combination of the particle かも, and the potential form of the う-Verb 知（し）る (to know) with the auxiliary verb ない attached. かもしれない is regularly translated simply as 'might', or 'maybe', but the literal translation is much closer to 'even (A), we cannot know'.;Colloquial: かも or かもしらん, Polite: かもしれません;財布（さいふ）を家（いえ）に忘（わす）れてきたかもしらん。;I might have left my wallet at home.;おそらく;;じゃないか | だろう | でしょう | もしかしたら;;
みたいに;Like, Similar to, Resembling;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AB-%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AA;Verb + みたいに + Verb(1) | Noun + みたいに + Verb(1) | Noun(2) + みたいな + Noun |  | (1) Adverb、［い］Adjective、［な］Adjective | (2) Verb;;;Standard;As learned in our previous lesson about みたい, it is a な-Adjective. This means that it can be used in conjunction with nouns, or with verbs. In each of these cases, it will carry the meaning of 'like (A)', or 'resembling (A)'. The difference between みたい describing a verb or a noun can be identified by whether it is followed by な (describes a noun), or に (describes a verb). Let's take a look at some examples.;Despite みたい meaning 'to resemble', and being based on (usually) visual stimulus, it should not be confused with 見（み）たい 'to want to see'. This is a common mistake that learners make, as みたい itself does not have a kanji form.;私（わたし）はあの女（おんな）の人（ひと）みたいになりたい。;I want to become like that woman.;;;風 | みたい | ように・ような | らしい ① | のように・のような  | そうに・そうな  | と同じで・と違って | らしい ②;Adverbial use;
そうに;Seem, Look like, Sound;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%AB-%E3%81%9D%E3%81%86%E3%81%AA;Verb［stem］+ そうに + Verb(1) | ［い］Adjective［い］+ そうに + Verb(1) | ［な］Adjective + そうに + Verb(1) | Verb［stem］(2) + そうな + Noun |  | (1) Adverb、［い］Adjective、［な］Adjective | (2) ［い］Adjective［い］、［な］Adjective;;;Standard;そうだ is one of the 18 auxiliary verbs in Japanese, and can be used in the same way as な-Adjectives (may be followed by な when acting as an adjective, or に when acting as an adverb). This is a unique characteristic of そうだ and ようだ. It is not something that can be done with all auxiliary verbs. As with そうだ, そうに and そうな carry the meaning of 'seeming like (A)', or 'looking like (A)'.;Negative Verb[ない] + そう, い-Adj [ない] + さ + そう | そう may also be used when attached to the い-Adjective, ない. In this case, there is a unique conjugation rule which you will need to be careful of. As always, い will be removed from ない before attaching そう. However, さ will need to be inserted between な, and そう. This results in the construction なさそう. | Note that this addition of さ does not happen with verbs. This is due to the ない that is used with negative verbs being an auxiliary verb, and not an い-Adjective. With the auxiliary verb ない, simply remove the い, before adding そう directly to the stem.;さっき、先輩（せんぱい）が怒（おこ）りそうになってた。;Earlier, it seemed like senpai was going to get angry.;;;ようだ | ように・ような | のように・のような  | みたい | みたいに・みたいな | にみえる | げ;;
の様（よう）に;Like (Noun), Similar to (Noun);N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB-%E3%81%AE%E3%82%88%E3%81%86%E3%81%AA;Noun + のように + Verb(1) | Noun + のような + Noun |  | (1) Adverb、［い］Adjective、［な］Adjective;;;Standard;The auxiliary verb ようだ is used for making observations. It states that something is 'in the manner/way of (A)'. Like the auxiliary verb そうだ, ようだ may be used in a similar way to な-Adjectives (can be followed by な when acting as an adjective, or に when acting as an adverb). の is required before these constructions when it is describing a noun.;This is a version using nouns, みたい(に・な)→appearance of, のよう(に・な)→in the manner of;この先生（せんせい）は鬼（おに）のように怖（こわ）い。;This teacher is as scary as a demon. (Literally, 'scary like a demon');;;そう  | そうに・そうな  | ように・ような | みたいに・みたいな | ふうに | にみえる;;
う・よう + と思（おも）う;I think I will, I think I shall, Going to, Gonna (Volitional + と思う);N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86-%E3%81%8A%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86;Verb［よう］ + と思（おも）う(1) |  | (1) と思（おも）っている | Verb［よう］ + と思（おも）います(1) |  | (1) 思（おも）っています;;;Standard;The combination of a verb with the auxiliary verb う, or よう, followed by the う-Verb 思（おも）う gives us the common expression ようと思（おも）う. This expression is often translated as 'I think I will (A)', or 'I shall (A)'. It is also close to the casual expression 'I'm gonna (A)'.;Let's be careful to remember the difference between the auxiliary verbs よう, and ようだ. They are different constructions that have different meanings, and behave in unique ways grammatically.;このゲームはもうあきらめようと思（おも）う。;I think I will give up on this game already. (I have arrived at the conclusion that I will give it up);;;とおもう | Verb[よう] | つもりだ | てみる;;
く・に;～ly (Describing verbs), Adverbs;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/describing-verbs;［い］Adjective［く］ + Verb | ［な］Adjective + に + Verb |  | Exceptions: | いい￫よく;;;Standard;Adverbs can be used before verbs to indicate the way in which an action is being done. This is translated in a similar way to '~ly' in English, where the adjective 'quick' would become 'quickly' when describing a verb.;There are many adverbs in Japanese that are modifications of neither い-Adjectives nor な-Adjectives. For ease, we will call these 'true adverbs'. True adverbs may appear in different parts of the sentence depending on the information they are conveying. However, this is an advanced topic that will be covered at another stage.;妹（いもうと）は古（ふる）い本（ほん）を大切（たいせつ）に使（つか）った。;My younger sister carefully used the old book.;;;;;
にする・くする;Adjective + する, To make something/someone (more);N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%99%E3%82%8B-%E3%81%8F%E3%81%99%E3%82%8B;［な］Adjective + に + する | ［い］Adjective［く］+ する | Noun + に + する | ［な］Adjective + に + します | ［い］Adjective［く］+ します | Noun + に + します;;;Standard;When combined with a な-Adjective, にする (or くする in the case of い-Adjectives) carries the meaning of 'to make more (A)'.;;頑張（がんば）って部品（ぶひん）を小（ちい）さくしてください。;Please try your best to make the parts smaller.;;;ようにする | ことにする | ～になる・～くなる;;
といい;I hope, I wish, You should, It would be good;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%84;Verb + と + いい | ［い］Adjective + と + いい | ［な］Adjective + だ + と + いい | Noun + だ + と + いい |  |  | Wishing for others: | (Desired Outcome) Phrase + といい + ね |  | Wishing for oneself: | (Desired Outcome) Phrase + といい + なぁ | (Desired Outcome) Phrase + といい+んだ(1) + けど(2) |  | (1) のだ | (2) けれど、けども、けれども、が | Verb + と + いい + です | ［い］Adjective + と + いい + です | ［な］Adjective + だ + と + いい + です | Noun + だ + と + いい + です |  |  | Wishing for others: | (Desired Outcome) Phrase + といい + です + ね |  | Wishing for oneself: | (Desired Outcome) Phrase + といい + です+なぁ | (Desired Outcome) Phrase + といい+んです(1) + けど(2) |  | (1) のです | (2) けれど、けども、けれども、が;;;Standard;One of the regular uses of the と particle is to express 'if'. However, unlike some other structures (like なら, たら, and ば), と implies that the 'if' result of と is something that will definitely happen, or is a natural consequence of (A) happening. When combined with the い-Adjective いい, it means 'if (A), it would be good'.;When this expression finishes with けど, けれども, or が, it can imply that there are some external factors that will make the desired result difficult to achieve.;試合（しあい）で勝（か）つといいですね。;I hope that you can win the game.;;;たらいい・といい | ばいい;;
様（よう）になる;To reach the point that, To come to be that, To turn into;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%AA%E3%82%8B;Verb［できる］(1) + ように + なる |  | (1) Verb［ない］、Verb［る］ | Verb［できる］(1) + ように + なります |  | (1) Verb［ない］、Verb［る］;;;Standard;When combined with the particle に, and the う-Verb なる, よう expresses that a particular action has reached the point of being completed/able to be completed. Because of this, ようになる is regularly translated as 'to reach the point that (A)', or 'to turn into (A)'.;When using this grammar construction, we will need to remember that する does not have a potential form. Therefore, できる will be used with words that usually act as する verbs.;ちゃんと英語（えいご）を勉強（べんきょう）すれば、話（はな）せるようになる。;If you study English diligently, then you will reach a point where you can speak it.;;;ように | ようにする | ことになる;;
毎（まい）～の様（よう）に;Almost every ~, Nearly every ~, On a ~ basis;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%84-%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB;毎（まい） + Time Expression + のように;;;Standard;In a similar way to のように, まい～のように states that something is happening 'in the manner/way of (A)'. まい means 'every' (coming from the kanji 毎（まい）), and will always be followed by (A). (A) being a word that expresses some kind of measurement (usually time).;Although みたいに and のように are regularly interchangeable, that is not the case with まい～のように. This is because みたいだ is originally an abbreviation of the more formal phrase を見たような, and therefore can sound unnatural when used to describe things that cannot be seen, like time.;渋谷（しぶや）には毎（まい）週（しゅう）のように行（い）っているよ。;I go to Shibuya almost every week.;;;ように・ような | ごとに | たびに | おきに | につき;;
じゃないか;Isn't it?, Is it not?;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%8B;Phrase + じゃない + か;;;Standard;When learning じゃない and ではない, we briefly mentioned that these constructions are regularly partnered with the particle か, in order to form a (usually casual) question. In this lesson, we will further explore this usage.;;あなたの車（くるま）は私（わたし）の車（くるま）より速（はや）いじゃないか。;Your car is faster than my car, isn't it?;;;かもしれない | でしょう | のではないだろうか | じゃない | ～のだろうか | ね | だろう;;
らしい ①;Seems like, Apparently, I heard;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%841;Verb + らしい | ［い］Adjective + らしい | ［な］Adjective + らしい | Noun + らしい | Verb + らしい + です | ［い］Adjective + らしい + です | ［な］Adjective + らしい + です | Noun + らしい + です;;;Standard;The auxiliary verb らしい is very similar to the auxiliary verbs そうだ and ようだ, in that it expresses something that the speaker 'thinks' is true. This use is known as 推定（すいてい） (presumption) in Japanese. However, despite being a presumption/assumption, らしい usually sounds relatively confident.;There are 2 main forms of らしい in Japanese. The auxiliary verb usage mentioned above, and the 形容詞（けいようし）の一部（いちぶ） (auxiliary adjective), a type of adjective that must be attached to another word for it to have any meaning usage. らしい has the meaning of something that is 'typical of (A)', when used as an auxiliary adjective. | This い-Adjective use of らしい will be covered more in our second らしい lesson.;ねえ、聞（き）いた？タケシ君（くん）がキヨミちゃんにプロポーズするらしいよ。;Hey, did you hear? It seems that Takeshi-kun is proposing to Kiyomi-chan.;;;そう  | とみえる | ということだ | んだって | みたいに・みたいな | ようだ | みたい | っぽい | らしい ② | どうやら | にみえる | そうだ  | ときいた;;
～ておく;To do something in advance;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8A%E3%81%8F;Verb［て］+ おく | Verb［て］ +とく | Verb［て］+ おきます | Verb［て］ + ときます;;;Standard;When the conjunction particle て is followed by the う-Verb 置（お）く in Japanese, it regularly has the meaning of 'to do (A) in advance'. 置（お）く as a verb itself means 'to place something' (down), but also has the nuance 'to leave something alone', or to 'drop something' (like a topic). In this way, ておく can be thought of as meaning 'to do (A) and leave it (until later)'.;ておく is sometimes contracted to とく (or どく in verbs where て would usually be said as で). This is very common in casual conversation, drama, manga, and similar media. However, it would not commonly be heard in any kind of formal or business situation.;毎日（まいにち）歯（は）を磨（みが）いておくと、虫歯（むしば）が防（ふせ）ぎます。;If you brush your teeth everyday (in advance), you will be able to prevent cavities. (That may or may not come in the future);;;てある ;;
が欲（ほ）しい;To want something, To be in need of;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%BB%E3%81%97%E3%81%84;Noun + が + ほしい | Noun + が + ほしい + です;;;Standard;To say that you want something in Japanese, the が particle will be combined with the い-Adjective 欲（ほ）しい 'to want (A)', or 'to desire (A)'. This is exactly the same way as other い-Adjectives behave when describing nouns.;Do not confuse:, ほしくなかった [past negative], with, ほしくなった => ほしい+なる | This use of 欲（ほ）しい is only used for saying that you want 'things' (nouns). The auxiliary verb たい will be used when saying that you want to 'do' something (verbs). | However, ほしい may be used with verbs to express that you want another person to do something. This is done through the use of ほしい after the conjunction particle, て. | For more detail about this, please see ourてほしい lesson.;新（あたら）しい車（くるま）が欲（ほ）しいけど、今（いま）はお金（かね）が無（な）いから買（か）えない。;I want a new car, but I don't have any money right now, so I can't buy one.;;;ように～てほしい | たい | がる | たがる | てほしい;;
～て欲（ほ）しい;I want you to;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%BB%E3%81%97%E3%81%84;Verb［て］+ ほしい | Verb［て］+ ほしい + です;;;Standard;As mentioned in our lesson about 'saying that you want something' with がほしい, sometimes ほしい can be used as auxiliary adjective (an adjective that needs to be connected to another word in order to have meaning). In these cases, it will follow the conjunction particle, て. When used this way, てほしい expresses that the speaker 'wants somebody to do something'.;てほしい can also be used to ask questions/explain about what other people want you (or somebody else) to do. Due to this, we will need to be careful when trying to identify who wants who to do what.;もう一回（いっかい）説明（せつめい）してほしいです。;I want you to explain it one more time.;;;ように～てほしい | がる | たがる | がほしい | たい;;
と聞（き）いた;I heard that;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8D%E3%81%84%E3%81%9F;Phrase + と聞（き）いた |  | Verb + と聞（き）いた | ［い］Adjective + と聞（き）いた | ［な］Adjective + （だ） + と聞（き）いた | Noun + （だ） + と聞（き）いた | Phrase + と聞（き）きました |  | Verb + と聞（き）きました | ［い］Adjective + と聞（き）きました | ［な］Adjective + （だ） + と聞（き）きました | Noun + （だ） + と聞（き）きました;;;Standard;When the particle と is used for citation in Japanese, it is regularly partnered with other verbs, to form set phrases. One of these set expressions is と聞（き）いた, which means 'I heard that (A)'.;だ is often omitted after nouns and な-Adjectives when used with ときいた in casual conversation. While this sounds perfectly normal, it is technically not correct Japanese.;明日（あした）はテストがあると聞（き）いた。;I heard that there is a test tomorrow.;;;ようだ | んだって | らしい ① | そうだ  | だって;;
聞（き）こえる;To be audible, To sound (like), (Can) hear, To be heard;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E8%81%9E%E3%81%93%E3%81%88%E3%82%8B;Noun + が + 聞（き）こえる | ［い］Adjective［く］+ 聞（き）こえる | ［な］Adjective + に + 聞（き）こえる | Noun + に + 聞（き）こえる | Noun + が + 聞（き）こえます | ［い］Adjective［く］+ 聞（き）こえます | ［な］Adjective + に + 聞（き）こえます | Noun + に + 聞（き）こえます;;;Standard;聞（き）こえる is a verb that is often used to describe things that can be heard, or the way in which something is heard. Because of this, the most common translations of this verb are 'to be audible', or 'to sound like (A)'. 聞（き）こえる is an intransitive verb, and literally means 'to give off sound'.;聞こえる was originally a conjugation of 聞く、but nowadays it is treated as a standalone intransitive verb;こう歌（うた）うと上手（じょうず）に聞（き）こえる。;If you sing like this, you will sound good.;;;れる・られる (Potential) | がする;;
見（み）える;To be visible, To seem, To be in sight;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E8%A6%8B%E3%81%88%E3%82%8B;Noun + が + 見（み）える | Noun + が + 見（み）えます;;;Standard;In the same way that 聞（き）こえる is used to describe things that are 'audible', 見（み）える can be used to describe things that are 'visible'. 見（み）える itself is an intransitive verb, meaning that the object that is 'visible' will be marked with が.;見える was originally a conjugation of 見る, but nowadays we treat it as a standalone intransitive verb. It is also used in honorific speech, meaning “to come.”;この部屋（へや）からは富士山（ふじさん）が見（み）えます。;Mount Fuji can be seen from this room.;;;がみられる | れる・られる (Potential);;
出（だ）す;To suddenly begin, To start doing;N4;4;Do it Like this, Did it Like that;https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%99;Verb［stem］+ だす | Verb［stem］+ だします;;;Standard;だす, or 出（だ）す in its kanji form is a verb that is regularly attached to the conjunctive form of other verbs. When it is connected in this way, it has the meaning of 'to suddenly do (A)', or 'to burst into (A)'.;Unlike はじめる, another common structure which means 'to begin', だす quite often has the nuance of being unintentional, or something that the subject cannot avoid doing (or cannot be controlled). On the other hand, はじめる expresses the direct intention of the subject to do (A).;最初（さいしょ）から速（はや）く走（はし）りだすのは体（からだ）に良（よ）くない。;It is not good for your body to suddenly start running fast.;;おわる;はじめる | いきなり | かけ;;
代（だい）;Teens, Twenties, Thirties, 1910s, 20s/30s;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E4%BB%A3;Decade of age + 代だい | Decade + 年代ねんだい;;;Standard;The suffix ～代（だい） is used for several different things. One of the most common uses is for highlighting someone's decade of age. In the same way that English says teens, twenties, and thirties. All that is required is adding 代（だい） after the age (in tens), in Japanese.;;街頭（がいとう）インタビュー、通行人（つうこうにん）：「１９８０（せんきゅうひゃくはちじゅう）年代（ねんだい）ころからここに住（す）んでいます。」;Street interview, passerby: 'I have been living here since (around) the 1980s.';;;;;
Number + も;Emphasis, As ~ as, Not even;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/number-%E3%82%82;Number + Counter + も;;;Standard;The adverbial particle も is often used for labeling (A) as part of a category, when it would not usually be considered part of that group. In this way, it emphasizes that (A)'s inclusion is something that is surprising/unexpected in some way.;;１２時間（じゅうにじかん）も仕事（しごと）をしたから疲（つか）れた。;I worked as long as 12 hours, so I am tired.;;Number + しか〜ない | Number/Amount + は;からする | なん + counter + か;;
殆（ほとん）ど;Almost all, Most, Hardly any, Few (Adverbial noun);N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%A8%E3%82%93%E3%81%A9;ほとんど + Phrase | ほとんど + (Negative) Phrase;;;Standard;The adverb ほとんど is used in many situations in Japanese, and often translates as 'most', 'hardly any', 'almost all', and similar expressions. The nuance will always depend on the rest of the sentence. The most accurate translation for the word ほとんど itself is simply 'almost', where the thing that it is describing is always considered to be a full group, rather than a single thing.;Generally written in kana, though 殆ど form can also be seen;みんなは、ほとんど帰（かえ）りました。;Almost everyone has gone home.;;;めったに〜ない | だいたい;;
そんな;Such a・Kind of, Something like ~;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%93%E3%81%AA-%E3%81%93%E3%82%93%E3%81%AA-%E3%81%82%E3%82%93%E3%81%AA-%E3%81%A9%E3%82%93%E3%81%AA;そんな + Noun | こんな + Noun | あんな + Noun | どんな + Noun;;;Standard;One of the most common ways to convey that something is 'like' something else in casual conversation, is through the use of そんな, こんな, あんな, or どんな (when asking a question). These are not officially words themselves, but are abbreviations that come from そのような, このような, あのような, and どのような.;;こんな高（たか）いものはもらえないよ。;I can't accept a gift this expensive.;;;そういう | そんなに;;
各（かく）;Each, Every, Respective, Various;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E5%90%84;各（かく） + Noun;;;Standard;One of the slightly more formal ways to say that something is happening 'each', or 'every' (A) in Japanese, is by using the prefix 各（かく）. While there is no strict rule for when this prefix can be used, it is almost always seen before words of Chinese origin (kanji compounds), or katakana words.;;各（かく）ファイルを各（かく）自（じ）アップロードする必要（ひつよう）がある。;Each person needs to upload their respective files.;;;それぞれ | ～ずつ;;
以上（いじょう） ①;More than (or equal to), Over・(and) above, Any more・Greater, Exceeding;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E4%BB%A5%E4%B8%8A1;Noun + Amount + 以上（いじょう） | それ(1) + 以上（いじょう） |  | (1) これ、あれ;;;Standard;In order to mark something as 'equal to, or more than (A)', 以上（いじょう） will be used. This is simply a combination of the kanji 以（い） which means 'by means of', and 上（じょう） 'above'. This expression may also be translated as 'greater than (A)', or 'exceeding (A)'.;Actual Amount ≥ Amount + Counter;コンサートには５００（ごひゃく）人（にん）以上（いじょう）のファンが集（あつ）まった。;More than 500 fans gathered at the concert.;;いか;からある | より | 以上に;;
以下（いか）;Less than (or equal to), Under・(and) below, Any less・fewer, Not exceeding;N4;5;Amounts/Counting;https://bunpro.jp/grammar_points/%E3%81%84%E3%81%8B;Noun + Amount + 以下（いか） | それ(1) + 以下（いか） |  | (1) これ、あれ;;;Standard;In order to mark something as 'equal to, or less than (A)', 以下（いか） will be used. This is simply a combination of the kanji 以（い） which means 'by means of', and 下（か） 'below'. This expression may also be translated as 'under (A)', or 'fewer than (A)'.;Actual Amount ≤ Amount + Counter;この家（いえ）は２０００（にせん）万（まん）円（えん）以下（いか）です。;This house costs less than 20 million yen. (or equal to);;以上 ①;;;
